taxnumberprovider,feature_vector,Cluster
77.141.267-K,"38 se despacha 24 horas  10 
30200064 suplemento nutricional nutricia aceite mct botella 500 ml unidad 38 pasta de ave pimenton, de ave mayo o de ave aceituna, en formato equivalente a pote de 250 grs. o superior, de acuerdo a requerimiento de ficha tecnica adjunta 27 
suero cloruro de sodio 0,9% ampolla 20ml 38 bolsa de cacao en polvo de 200 grs. o superior, de acuerdo a requerimiento de ficha tecnica adjunta 62 se despacha gratis en 24 horas  38 jugos de diferentes sabores de 1.5 litros en botellas desechables, de acuerdo a requerimiento de ficha tecnica adjunta 38 quequqes individuales de 300 grs. o superior, de acuerdo a requerimientos de ficha tecnica adjunta 71 -	cantidad: 200 uni. en paquetes de 20 uni.
-	tipo: macizos
-	tamano: medianos 
-	marca: cualquiera
 38 pan marraqueta, de acuerdo a requerimientos de ficha tecnica adjunta",17
9.344.181-8,"30 segun adjunto 41 1 34 bandera chilena medidas 2x3 metros, costuras reforzadas, estrella bordada, material tela bistrech de excelente calidad caida y movimiento (no es tela estampada) 27 resma tamano carta equalit 27 papel multiuso oficio 75g/m2 marca equalit (empaque gris) 41 15	tinta 544 negra epson - 15	tinta 544 magenta epson - 15	tinta 544 cyan epson - 15	tinta 544 amarilla epson

detalles en doc adjunto.
 38 textos caligrafix logica y numeros ndeg 2 para escuela el plumero, segun especificaciones adjuntas.- 27 n1 logica y numeros  caligrafix  60 se postula en cantidad y calidad solicitada
plazo de entrega 3 dias
sin costo de envio 27 se cotiza segun cantidad y calidad solicitada
plazo de entrega en 2 dias
sin costo de envio",23
77.072.223-3,"27 teclado standard  usb  41 se cotiza  galletas entrega  3 dias habiles  24 se requiere comprar una impresora multifuncion equivalente a epson modelo l3210 24 se cotiza  impresora multifuncion equivalente a epson modelo l3210 entrega  5 dias  hbiles  27 se cotiza  zapato botin edelbrock 205 entrega en 1 dias habiles  solo faltaria las tallas  41 bolsas quequitos  (12 unidades) 27 mouse genius dx-110 usb negro suave  41 cafe tradicion instantaneo 170 grs. tipo nescafe o similar 41 galletas limon 120 grs 36 se cotiza all in one 23,8"" fullhd intel core i3-1115g4 4gb 1tb windows 10 24-df1000la y multifuncional laser blanco y negro dcp-l5650dn ethernet entrega en 3 dias habiles ",23
77.148.954-0,"68  materiales de oficina segun lo que se pide 40 unidad espirales negros 10 mm  68 lapiz pasta azul punta mediana 68 anotador doble 49 50 lapices pasta color negro 68 sacacorchete paleta 41 10 unidades resmas de papel opalina lisa blanca, tamano carta.- 40 cajas de archivo (35x12x23 cm aprox) 40 unidad espirales negros 14 mm  68 porta scotch chico",10
77.151.976-8,"27 glucerna vainilla 850 grs  27 se cotiza glucerna polvo; ensure vainilla y ensure adv. ; plazo de entrega 48 hrs. una vez aceptada la o/c 27 ensure advance  850 grs  25 ensure advance vainilla, 850grs/tarro. 38 se cotiza ensure polvo tarro 850 grs, de acuerdo a lo solicitado en aumento adjunto, plazo de entrega 24 hrs. una vez aceptada la o/c 20 similac total comfort 1 y 2 27 ensure vainilla 850 grs  10 suplemento alimenticio ensure tarro 850 grs. 24 ensure sabor frutilla y vainilla 850 grs  17 tarro ensure vainilla 850 grs ",3
76.030.456-5,"40 sobre papel kraft blanco 24x8 cms. con fuelle, capacidad 1/2 litro 16 02-006-002-009 @ sobre blanco de papel 1 kilo 43 sobres de papel de 1/4 27 sobres de papel 1/2 litro blanco con fuelle para medicamentos. 21 sobre papel blanco 1 kilo 12*26 cms aprox 35 timbre institucional, segun formato adjunto, se debe cotizar ambos productos 40 sobre papel kraft blanco 16x8 cms. con fuelle, capacidad 1/4 litro 16 la entrega es inmediata disponemos de stocks permanentes, despacho en sus bodegas sin cobro de envio,  contacto veronica vergara 09 67 52 63 78, graficavergara@gmail.com 16 02-002-002-134 sobre papel impreso capacidad 1/2kg 69 sobre esterilizacion con fuelle 20 x 5 x 40 cm (c.i.40500044367)",9
76.879.187-2,"27 panales y sabanillas ador, calidad premium, alta absorcion, incontinencia fuerte, diseno aleman de gran confort, paquetes x 10 unidades, despacho inmediato. 16 panales para adultos ador, calidad premium, alta absorcion hasta 2,5 lts, diseno aleman, gran confort, cinta indicadora de humedad, bordes antiderrame, paquetes x 10 unidades. 43 panal para adulto ador, calidad super premium, alta absorcion sobre 2,5 lts, diseno aleman, gran confort, bordes antiderrame, cinta indicadora humedad, con aloe vera, enmascarador de olores, paquetes x 10 uni, oferta equivale a cantid. solicita en adjunto 27 panales adulto cotidian pants ultraprotect talla g-xg, paquetes que se adecuen a la totalidad de panales solicitados. con despacho a pedro aguirre cerda 509, municipalidad de angol. 25 panales talla m adulto, que contenga 8 panales cada paquete  48 panales y sabanillas para adultos ador, calidad super premium, incontinencia fuerte, alta absorcion, calidad y diseno aleman, paquetes x 10 uni, despacho inmediato. 27 panal para adulto ador, calidad premium, alta absorcion sobre 2,5 lts, diseno aleman gran confort, bordes antiderrame, cinta indicadora de humedad, gel ultra absorbente, paquetes x 10 uni. cotizacion equivalente a 36 uni. 21 panal para adultos ador, calidad premium, altisima absorcion hasta 2,5 lts, diseno aleman, confortables, paquetes x 10 uni, cinta indicadora humedad, bordes antiderrame. 27 adquisicion de 50 paquetes de panales para adulto de incontinencia fuerte, cada paquete debe contener 36 unidades, talla g (grande) equivalente a panales cotidian plus, con entrega en calle blanco ndeg 273, 2deg piso a la direccion social comunal, en horario de lunes a viernes de 14:30 a 17:00 hrs. 47 guantes de nitrilo libres de polvo, alta calidad, cajas x 100 uni, despacho incluido.",4
76.628.306-3,"34 botin de seguridad no39 (segun fotografia anexa) o simil

anexar fotografia  41 petos deportivos azul, petos de alta visibilidad fabricados en poliester, resistentes y agradables al tacto. lavables y que se  pueden personalizar si se desea. 
talla senior
 27 zapato escolar talla ndeg35 color negro con velcro (ninos) modelo referencial segun archivo adjunto. 10 botin hombre crosslander 2 mid waterproof talla ndeg 42 37 se adjunta detalle 10 botin hombre crosslander 2 mid waterproof talla ndeg 41 27 zapato escolar talla ndeg28 color negro con velcro (ninas) modelo referencial segun archivo adjunto. 41 petos deportivos rojos, petos de alta visibilidad fabricados en poliester, resistentes y agradables al tacto. lavables y que se  pueden personalizar si se desea. 
talla senior 
 25 6 pack deportivos debe incluir banano, jockey, botella agua, toalla microfribra similar a diadora, adidas, puma 
todo adentro de un morral basico , todo unisex 10 botin hombre crosslander 2 mid waterproof talla ndeg 43",9
76.023.372-2,"14 guantes alto riesgo nitrilo largo 16"" no esteriles, libre de polvo y con proteccion adicional en toda la palma x caja 100, talla s
considerar dentro de los requisitos para ofertar que el vencimiento superior a 12 meses y/o incluir carta de canje
adjuntar ficha tecnica del producto, indicar telefono de contacto y correo electronico 41 guantes microflex nitrilo, sin polvo, dedos texturizados, recomendado para laboratorio, sin latex, desechable, ambidiestro, color azul. norma en iso 374-1/type c | en iso 374-5 virus. marca ansell. se adjunta ficha tecnica. entrega en 2 dias. 14 guantes microflex nitrilo alto riesgo, sin polvo, totalmente texturizado, extra largo 40cm. norma en iso 374-1/type b | en iso 374-5 virus. 100 unidades. marca ansell. se adjunta ficha tecnica.  entrega en 2 dias. recepcion@rcclinical.cl 931257854
 51 guante nitrilo azul sin polvo libre de latex talla s 100 unidades 41 guante nitrilo azul trensor o equivalente sin polvo talla m x 100 unidades 10 guantes alto riesgo talla m madegom largo 40cm. 10 guantes micro-touch nitrilo, alto riesgo, puno extendido, sin polvo, sin latex. alta resistencia y proteccion quimica. marca ansell. talla s. caja de 100 unidades. se adjunta ficha tecnica. entrega en 2 dias. despacho incluido. 41 guante nitrilo azul trensor o equivalente sin polvo talla s x 100 unidades 10 225-0169  guante examinacion alto riesgo talla s
 41 guante nitrilo azul trensor o equivalente sin polvo talla l x 100 unidades",9
77.164.256-K,"53 oferta realizada, segun especificaciones descritas. contacto al +56 9 77438208. se adjunta cotizacion formal por la totalidad de los productos. despacho 3-5 dias habiles. regalo complementos de jardineria y huerta 44 macetros, maceta inyectada de terracota para planta medicinales, medidas alto 30cms, diametro 25cms. 23 aspiradora de arrastre con potencia minima de 2200 wts (subir imagen del producto ofertado indicando garantias y caracteristicas) 23 hidrolavadora 1800w, presion maxima 140bar - 2030psi bar, similar guskiner  11 pinzas de recoleccion de basura 76cm 53 macetero mediano de plastico 45 barre hoja metalico 53 planta artificial, conforme a modelo adjunto 11 bolsas de basura 70x90 por 20 unidades 53 macetero para planta de interior",14
77.556.881-K,"10 se oferta de acuerdo a archivo adjunto.
plazo de entrega 4 dias.
despacho gratuito. 55 mouse alambrico preferentemente (kensington pro fit, usb) 73 disco duro 1 terabyte 23 adquisicion de zapatos de seguridad, de acuerdo a documento adjunto.  24 se oferta de acuerdo a archivo adjunto.
plazo de entrega 5 dias.
despacho gratuito. 10 esponja de acero degradable display
 10 40-001-510-319-00  silla ergonometrica,c/brazos respaldo alto, tapiz textil,armada. adjuntar imagen 10 limpiador en crema cif 750grs.
 10 40-001-510-641-00  silla ergonometrica,c/brazos respaldo alto y apoya cabeza , tapiz textil, armada. adjuntar imagen 55 se oferta de acuerdo a archivo adjunto.
plazo de entrega 3 dias.
despacho gratuito.",0
77.165.768-0,"61 cupersan clean 440 ml (contiene x 2 frascos de 220 ml c/u y aspersor). dispositivo medico isp ddm/2160/19. se considera capacitacion al area correspondiente. despacho 2 dias habiles. valor por frasco. 15 0270090003 fentanilo parche transdermico 50 mcg
 16 gel polihexanida betaina  10 fentanilo 50 mcg/h parche transdermico 15 0270090003 fentanilo parche transdermico 50 mcg 94 lidocaina, clorh. 2 % gel esteril jeringa 10 ml hosdip aa1209 14 fentanilo 25 mcg/ hora parches, indicar fecha entrega y vencimiento 18 meses. 16 cupersan clean 440 ml (contiene x 2 frascos de 220 ml c/u y aspersor). dispositivo medico isp ddm/2160/19. se considera capacitacion al area correspondiente. venc.: superior a 12 meses. despacho 2 dias habiles. valor por frasco. 53 limpiador de heridas (prontosan wound gel de 30ml o su equivalente) 10 303-2076	303	endogel esteril jeringa 10 ml
",6
78.116.970-6,"61 hojas bisturi,ester,fig. ndeg 23 (3000113) 56 guante nitrilo texturado sin polvo talla m (100 un.) 10 3403166	hoja bisturi n-22 cj 100 ud id1366252
 14 
hoja bisturi ndeg 15 14 
hoja bisturi ndeg 10 10 3403161	hoja bisturi n?11 cj100 ud 1366246 100000791 
 14 despacho 2 a4 dias  15 mecheros de un solo tubo, material metalico resistente al calor, material base aleacion de zinc y cobre, longitud aprox 15 a 17 cm diametro base 7 a 8 cm aprox. regulador de flama, regulador de gas, anillo superior. que incluya garantia minima 10 frascos graduados 250ml. tapa rosca azul. se adjuntan especificaciones tecnicas.
 61 algodon hidrofilo prensado",18
76.086.346-7,"12    mesas plegables rectangular,  otras caracteristicas dirigirse a tdr adjuntos 10 3 pendones institucionales en pvc, a todo color de medidas de 0.90 x 2.00 mts. disenos se enviaran directamente a proveedor 51 4 rolest080 porta pendon roller 80*200 cms (c10)
4 gra080pvc impresion 80*200 cms en tela pvc brillante - ecosolvente

 35 baderas tipo vela de 80*300 con base en cruz, mastil y doble estampado, el diseno es proporcionado por nosotros. 30 pendon roller pvc con bolso de transporte tamano 100 cm de ancho x 200 cm de alto 22 mesa counter de pie 21 compra pendones roller. 35 mesa plegable tipo maleta blanca 180x72x72 cm. 39 3 galvanos se adjunta modelo, logo municipal y texto 36 adquisicion de folleteros y porta grafica, programa educacion ambiental comunal, ano 2023.
importante adjuntar cotizacion por la totalidad de productos y caracteristicas mencionadas en ttr, caso contrario su oferta podra ser declarada inadmisible.",8
77.197.811-8,"38 sabanillas desechables 60x90 cms (para adultos) (300 paquetes de 6 unidades)

 11 informacion tecnica y administrativa se detalla en archivos adjuntos.  plazo entrega : inmediata 43 informacion tecnica y administrativa se detalla en archivos adjuntos.  21 panal adulto 36 unidades cotidian plus alta icontinencia (720-2651). 53 sabanilla protectora para cama 90x60 (paquete de 8 unidades) marca cotidian o su equivalente 11 panales tipo sabanilla con cintas de fijacion feliday. 10 0110212494 
sabanilla panal adulto extraabsorvente 76x91 (2-17) 38 informacion tecnica y administrativa se detalla en archivos adjuntos.  plazo entrega 1 dia 11 informacion tecnica y administrativa se detalla en archivos adjuntos. plazo entrega inmediata 21 informacion tecnica y administrativa se detalla en archivos adjuntos. plazo entrega  1 dia",0
76.325.278-7,"51 urgotul aposito tul de poliester lipidocoloide - 5 cm x5 cm 10 tela microporosa 1p blanca clinicare c/e. se adjunta ficha tecnica. despacho en 3 dias habiles, flete incluido. pago a 30 dias. cajas x 12 unidades. se comercializa en cajas cerradas. valor ofertado es unitario. 10 solucion para el lavado de heridas 350 ml (prontosan) (ref: 400591) 10 0140023011 cureta quirurgica para curaciones medida 4 mm, adjuntar ficha tecnica e imagen 19 curafix h venda adhesiva de fijacion  10 cm x 10 mt. despacho en 2 dias habiles, flete incluido. pago a 30 dias. despacho minimo: $100.000+iva. caja x 1 unidad. puede realizarse despachos parcializados por facturas sobre los $100.000+iva.

 10 solucion para el lavado de heridas 350 ml (prontosan) (ref: 400591)                                                                                   
 77 ins001430 panal tipo sabanilla 10 
aposito lipidocoloide de fibras poliabsorbentes con plata 10*10 (referncia urgoclean cod:ur552155) 51 urgotul 5x5 cm. se adjunta ficha tecnica. despacho en 3 dias habiles, flete incluido. pago a 30 dias. 16 03-002-225-0410	aposito antimicrobiano con phmb 9x9 cms
",18
76.866.699-7,"12 kit de oxigeno portatil con carro de 685 litros - tipo e 42 cilindro de oxigeno de 10m3, con regulador de oxigeno de 1 a 15 lpm (litros por minutos) cilindro de acero altura media 155cms peso aproximado 70 kilos con base anti vuelco, adjuntar, especificaciones tecnicas del producto e imagen, requisito. para ser utilizado en centro de salud familiar san fabian. se solicita ofertar solo de la medida solicitada. 10 reguladores de oxigeno con valvula he hi de 0 a 15 lpm 42 cilindro de oxigeno de 1m3, con regulador de oxigeno de 1 a 15 lpm (litros por minutos) cilindro de acero altura media 155cms peso aproximado 70 kilos con base anti vuelco, adjuntar, especificaciones tecnicas del producto e imagen, requisito. para ser utilizado en centro de salud familiar san fabian. 10 reguladores de aire con manometro doble para cilindros conectados a maquina de anestesia 21 equipo oxigenoterapia (flujometro+manometro+humedificador) 13 regulador de oxigeno mas flujometro de 15 lt

 10 reguladores de oxigeno con valvula pin 50 propuesta comercial vr 21 propuesta comercial vr",13
76.642.585-2,"55 material didactico para jardines h-413 y h-444, listado segun archivo excel adjunto 10 204-0162	collar tipo miami pediatrico
 55 mueble estanteria vertical sin puertas con divisiones z-710, segun detalle anexo en archivo 55 despacho incluido 55 compresa gel frio calor  13 x 27 cm
 73 despachop por proveedor 58 se requiere adquirir 08 extintor pqs de 10 kilos al 75% certificado ds 44 nuevos con su carga al dia. para ofertar  detallar producto y contacto del proveedor. plazo  de entrega 5 dias posterior a la emision de la oc  73 soporte para tv articulado
rango pulgadas : 10""-55""
25-140 cm 73 despacho por proveedor 73 se requiere la compra de 02 hervidores electricos de 1.7 litros aproximadamente de uso domestico. ",14
77.600.914-8,"83 10 cajas de 24 unidades, envase de 900 ml o 1 lt 40 basurero de 120 litros reciclado de color azul 10 adjunto cotizacion, contacto mario valenzuela, telefono 996751193, entrega personalmente en direccion indicada. 33 adjunto cotizacion, contacto mario valenzuela, telefono 996751193, entrega personalmente en direccion indicada. 25 abrillantadora industrial de 13 pulgadas 190 rpm (anexo 01) 46 10 ventiladores de pedestal forma de torre 14 toalla higienica femenina nocturna, paquete de 8 unidades 46 adjunto cotizacion, contacto mario valenzuela, telefono 996751193, entrega personalmente en direccion indicada. 10 mini galletas de distintos sabores 83 adjunto cotizacion, contacto mario valenzuela, telefono 996751193, entrega en direcion indicada.",8
77.185.808-2,"10 parlantes, segun caracteristicas tecnicas adjuntas. 10 pizarra, segun caracteristicas tecnicas descritas en anexo tecnico. 10 percheros de madera, segun caracteristicas tecnicas indicadas en anexo tecnico. 45 dispensadores y basureros segun anexo ndeg1. 10 cotizacion basurero metalico con tapa y pedal  capacidad de 30 litros, 
detalles en documento adjunto garantia 3 meses.
despacho gratis. 10 cotizacion de parlantes marca aiwa aws800bt portatil con bluetooth waterproof negra,
detalles en documento adjunto. despacho gratis. 38 dispensador de jabon liquido o alcohol gel de 400ml  88x96x169mm 10 tornillo hyrax 13mm 35 cotizacion proyector 3500 lumenes, marca philco, resolucion 1920*1080.
detalles en documento adjunto. 
garantia 6 meses, despacho gratis. 10 cotizacion de tornillos hyrax 11mm,  marca morelli
detalles en documento adjunto.
despacho gratis.",14
11.624.383-0,"31 cotizacion segun anexo y condiciones expuestas en proceso compra agil. 10 200 unidades de protector solar, formato 100 a 120gr.
ver especificaciones tecnicas adjuntas 58 polera de pique de color naranja, manga larga, con logo en el anverso y reverso logo grande y leyenda ""condcutor"" (talla l = 5; talla xl = 4; talla xxl = 5), el diseno debera ser coordinado con el municipio para su aprobacion  37 zapatillas de seguridad ndeg 36 para mujer caracteristicas: punta de seguridad de acero, planta de caucho de alta resistencia al deslizamiento, capellada de cuero suave de alta duracion, plantilla interior acolchada, entresuela de soporte absorvente de impactos, paneles de tela mesh laterales para efectos de enfriamiento. 37 despacho 3 dias, se adjunta ficha de lo ofrecido, garantia 6 meses por defectos de fabricacion email antusindustrial@gmail.com +56985079369 ignacio flores 48 guante aluminizado completo de 36 cms foto referencial entrega 5 dias, ganatia 6 meses por defectos de fabricacion antusindustrial@gmail.com. +56985079369 ignacio flores 48 guantes aluminizados de 36 cm. para uso y manipulacion de objetos calientes (alta temperatura) en casino institucional.

guante fabricado en tela de aramida (kevlar) aluminizado en su exterior que tiene como funcion refl!ectar el calor ante la exposicion de altas temperaturas.

en su interior puede incorporar forro de franela o lana, ambas telas ignifugas, refuerzan la barrera para evitar el ingreso del calor.
 54 *	casco de seguridad 
*	color blanco 
*	antigolpes con orejeras
*	con banda para sudor 
*	resistencia a impactos objetos de impacto, objeto punzante y para clima de lluvia
*	que soporte temperaturas de -10degc a 50deg c
*	material de polietileno de alto impacto
*	nivel de seguridad alta 
*	garantia de 6 meses 
*	producto nuevo

 37 zapatos de seguridad para hombre ndeg 41 fabricado en cuero nobuck capellado refuerzo de tpu en talon, que tenga aislante termico, con punta de seguridad de acero, pasa cordones, plantilla de armar de celulosa aglomerada de 2,5 mm. termoformado de 1,5 mm de espesor. 58 polera de pique de color naranja, manga corta, con logo en el anverso y reverso logo grande y leyenda ""condcutor"" (talla l = 5; talla xl = 4; talla xxl = 5), el diseno debera ser coordinado con el municipio para su aprobacion",17
76.377.981-5,"60 2190019 dacarbazina 200mg fa 10 
hidroxicarbamida cm 500 mg [214p007]  10 511-1776   bendamustina 25 mg liofilizado para solucion inyectable 10 lenalidomida 5 mg cm / codigo interno $2193514$cm

 10 
calcio folinato cm 15 mg [214p005]  29 gefitinib 250 mg. x 30 comp  94 bendamustina fa 100 mg hosdip ak1111 20 dacarbazina 200 mg

 15 zyvalix comprimidos 250 mg (abiraterona acetato), reg. i.s.p. ndegf-24528/19. estuche por 120 comprimidos en frasco plastico cilindrico de pead opaco de color blanco con tapas de seguridad. venc.: 28-02-2024. despacho 2 dias habiles. valor por comprimido. 10 511-1777 bendamustina 100 mg liofilizado para solucion inyectable",6
76.382.980-4,"20 entrega inmediata una vez emitida la oc segun listado solcitado completo
contacto: karina bastias
984799607 20 mermelada de frutilla o frambuesa 20 galletas igual o equivalente a crackelet 20 entrega inmediata una vez emitida la oc segun listado y detalle en adjunto, sin costo de despacho.
contacto: karina bastias
984799607
supermercado cantergiani 20 2 kilos de azucar blanca  (bolsas) 20 58 bombones dulces , se debe entregar la mitad (29 unidades) en cada  fecha: 1deg entrega  11/04/2023 y 2deg entrega el dia 13-04-2023,  se solicita entregar  sin falta los alimentos los dias indicados anteriormente antes de las 09:00 horas am (no mas tarde), para no interrumpir los cursos.  entregar en bodega de economato del hospital de traiguen.  se solicita cotizar todos los productos requeridos (requsito excluyente), se solicita la postulacion de oferentes locales  20 jugo nectar de 1,5 litros (variar sabores) 20 2 bandejas de huevos (24 huvos cada bandeja) 20 tarro de cafe instantaneo  de 250 g, igual o equivalente a cafe nescafe tradicional 35 entrega segun lo solcitado, carne dos veces x semana, sin costo de despacho
cotacto: karina bastias
984799607",4
77.490.383-6,"10 lapiz pasta publicitario full color con diseno personalizado impreso 1 color. enviar ficha y foto de producto ofrecido. 10 necessaire de variados colores segun especificaciones tecnicas en archivo adjunto. se debe adjuntar ficha tecnica e imagen del producto ofertado. 10 casacas geologos, en gabardina, color azul marino con logos bordado  24 tazon azul 330 cc aprox. con logo municipal y sigla ccosoc 36 polera institucional pique con insignia bordada, color azul rey, segun modelo y tallas adjuntas 39 lapices personalizados con diseno grafico institucional
 41 jockey blancos, con logo bordado y texto
especificaciones: 100% algodon, 5 paneles, talla unica adulto, color blanco, panel frontal liso (para bordado impresion) cierre posterior velcro, logo bordado y texto.
 50 galvano acrilico con base de madera, se adjunta descripcion de requerimiento. 48 portacredencial de acrilico 10  necessaire diferentes colores segun especificaciones tecnicas indicadas en archivo adjunto.
se debe adjuntar a la cotizacion ficha tecnica e imagen del producto ofertado.
",7
77.261.279-6,"18 dispensador de jabon liquido metalico de 500 ml 16 cerradura embutir perfil alumino manilla 20 540087	chatas plasticas anatomicas
 20 540043	basurero con tapa vaiven 30 litros unidad
 27 tachos de basura con pedestal 20 lts, color negro  27 tachos de basura amarillos con pedestal , reas 50 litros  18 dispensador de papel higienico plastico professional elite o similar  20 540004	basurero con tapa vaiven 60 litros (ref: san remo)
 27 se cotiza el producto de acuerdo a lo solicitado.
entrega en 2 dias. despacho incluido en la cotizacion. 55 guante de soldador redline o equivalente",22
77.083.053-2,"10 lapices pasta azul  90 toner alternativo laserjet hp 1006 35 a 73 lapiz pasta negro punta gruesa 34 carpetas plasticas transparentes lomo azul tamano oficio.

 34 archivador tipo palanca tamano oficio lomo ancho color negro

 39 toner hp 226 a compatible para impresora hp laserjet pro mfp m 426 fdw, calidad premium  11 estimado
se envia cotizacion solicitada.
despacho sin costo
 90 toner brother dr 2340 alternativo

 10 lapices gafitos  30 carpetas plastificadas colores",3
76.861.288-9,"54 portalapiz metalico rejilla 10 cm.  54 accoclips plasticos color blanco. caja x 50 u. 19 310-0126	lapiz pasta negro marca bic cristal env. caja 50 un 36 saca corchetes de palanca segun adjunto. 21 toner brother tn-650 (650-0058). 54 destacador color amarillo 36 estimada genesis adjunto cotizacion, favor revisar.
despacho desde 24 a 48hrs sin costo.
todos los productos se encuentran con stock disponible.
saluda atte. yolanda armijo cel. +56934039467
 yarmijo@milenariachile.cl www.milenariachile.cl 
 19 estimado maximiliano adjunto cotizacion, favor revisar.
despacho desde 24 a 48hrs sin costo.
todos los productos se encuentran con stock disponible.
saluda atte. yolanda armijo cel. +56934039467
 yarmijo@milenariachile.cl www.milenariachile.cl 
 21 drum brother dr-620 (650-0475). 54 lapiz tipo bic color azul punta media
",16
76.105.126-1,"51 radio transmisores
de dos vias rango de frecuencia de radio 400-470 mhz uhf con bateria de 1500 mah. funcion vox, pc de programacion, 
alarma de emergencia, carga inteligente, ahorro de bateria, alerta de bajo voltaje.
rango de frecuencia uhf 400-470 mhz
la capacidad del canal 16
voltage de operacion de 3,7v
bateria 1500mah li-ion
duracion de la bateria aprox de 8 horas
con despacho y caracteristicas segun adjunto 
 37 telefono ip grandstream gxp1760 para la unidad de contabilidad, adjudicara quien adjute cotizacion formal con datos de contacto y mejor plazo de entrega segun presupuesto disponible. 16 compra de tarjeta simcard prepago para telefono celular satelital marca inmarsat modelo isatphone 2.(se solicita adjuntar cotizacion formal para contactar), se invita a participar a un minimo de 3 proveedores. 31 radio trasmisor modelo kenwood tk 3000 16 compra de radiocomunicador portatil compacto profesional kenwood modelo tk-3000 o similar, debe ser en banda uhf de 4 watts o potencia superior y 16 canales, bateria de ion litio, clip de cinturon y antena. debe incluir la programacion de frecuencias y garantia minima de 12 meses.  12 telefonos ip ver archivo adjunto. 24 tarjeta 600 minutos telefono satelital
modelo telefono: iridium 9555
duracion 12 meses.
numero 881632658971
telefono en departamento de gestion de riesgos ante desastres y emergencias.
 17 ccr1016-12g mikrotik 16-1.2 ghz 12-1000 1-usb 1-rs232-db9 l6 rack 2gs lcd-touch especificacion tecnicas, se indican en documentos adjunto. 17 conmutador gigabit administrado de escritorio linksys lgs528 28 puertos. especificacion tecnicas, se indican en documentos adjunto. 31 05 equipos de comunicaciones sumergible, cobra marine mr hh350 flt radio vhf, equivalente o superior.",17
12.421.206-5,"34 copas doradas con orejas de 40 cm de altura, con placa sublimada full color, con logo municipal y logo ciudad acuarela con resena que diga ""dia del deporte, nueva imperial 2023"" 35 envio oferta completa. adjunto detalle con fotografias de productos. local en temuco, lo que permite cumplir con el plazo de entrega el cual sera de 2 dias. adjunto patente municipal. 43 trofeo mejor arquero 25 cm color oro grabada con logo municipal full color, i.municipalidad de perquenco mejor arquero campeon futbol 7 copa de oro  marzo 2023

 35 copa oro 58 cms (y109 b) 35 copa oro c41.5 cms 35 medallas oro 5 cm  34 envio oferta completa. adjunto detalle con fotografias de productos. local en temuco, lo que permite cumplir con el plazo de entrega el cual sera de 1 dia. adjunto patente municipal. 44 balon futbol final amarillo/verde no 5  43 medallas color oro de 50 mm cinta color verde, i.municipalidad de perquenco campeon futbol 7 copa de oro  marzo 2023
 35 copa plata 53 cm ",20
76.247.853-6,"12    mesas plegables rectangular,  otras caracteristicas dirigirse a tdr adjuntos 15 
225-5250 guante 6 1/2 esteril
adjuntar ficha tecnica con especificaciones y cotizacion 15  122 - 0209 lona impermeable p/toldos 27 archivadores oficio lomo ancho equivalente a auca 37 mesas plegables tipo maleta 180 cm color blanco, portatil con asas y sistema de seguridad anticierre, medidas180x74x75, cubierta de polopropileno de alta densidad 3.5 espesor, acero electropintado. ver solicitud adunta 63 cajas de 100 unidades de guantes de nitrilo libre de polvo talla s 10 mesa plegable de 180x74x74cm color blanco, asas de enganche
material de la cubierta en plastico
patas de metal con almohadillas antideslizante 
forma rectangular. 44 mesas plegables de 180x74x74cm color blanco
marcos de acero , tablero de acero  22 mesa plegable 180 x 74 x 74 cm plastico blanco 17 mesas plegables de 180x74x74cm color blanco.
toldos en medida de 3x3 carpa  impermeable con filtro uv, fierros cuadrados en color negro.
",29
14.521.664-8,"41 textos de matematicas segun archivo adjunto.  27 textos con despacho gratuito en 3 dias habiles desde la aceptacion de la orden de compra en direccion establecida en la propuesta 41 libro: !resuelve el misterio, el secreto de la mansion!. autor: lauren magaziner, 6deg basico 48 
ejemplares libro la palabra escondida, conversaciones con stella diaz varin, de la autora claudia donoso, isbn 9789563144840 26 textos con despacho gratuito en 3 dias habiles desde la aceptacion de la orden de compra en direccion establecida en la propuesta 27 trazos y letras ndeg1 primero basico 48 textos con despacho en 2 dias habiles desde la aceptacion de la orden e compra en direccion establecida en la propuesta 27 logica y numeros ndeg2 27 n1 logica y numeros  caligrafix  27 textos con despacho gratuito en 2 dias habiles desde la aceptacion de la orden de compra en direccion establecida en la propuesta",1
